n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,24,0.3,0.5,100,8381604653.44313,1
100,1,25,0.3,0.5,100,106114164.468796,1
100,1,26,0.3,0.5,100,2282512095851620,1
100,1,27,0.3,0.5,100,16206829101543.1,1
100,1,28,0.3,0.5,100,6434968198133930,1
100,1,29,0.3,0.5,100,89054752348.914,1
100,1,30,0.3,0.5,100,11000715323544.3,1
100,1,31,0.3,0.5,100,11644393363669700,1
100,1,32,0.3,0.5,100,321585693812474000,1
100,1,33,0.3,0.5,100,25859490843707.7,1
100,1,34,0.3,0.5,100,29612150699392.2,1
100,1,35,0.3,0.5,100,402500109307015000,1
100,1,36,0.3,0.5,100,15891523802169100,1
100,1,37,0.3,0.5,100,3045028184154100000,1
100,1,38,0.3,0.5,100,12651862773.0877,1
100,1,39,0.3,0.5,100,27168983200.6427,1
100,1,40,0.3,0.5,100,60068795265.7518,1
100,1,41,0.3,0.5,100,961788000570529,1
100,1,42,0.3,0.5,100,24410103.64289,1
100,1,43,0.3,0.5,100,380774963872.412,1
100,1,44,0.3,0.5,100,351071314487661000,1
100,1,45,0.3,0.5,100,2757653832.00114,1
100,1,46,0.3,0.5,100,1.13983046373178e+21,1
100,1,47,0.3,0.5,100,1979637080408150000,1
100,1,48,0.3,0.5,100,1754879576.37334,1
100,1,49,0.3,0.5,100,18183088409325200,1
100,1,50,0.3,0.5,100,5594410912366.97,1
100,1,51,0.3,0.5,100,286987548217.897,1
100,1,52,0.3,0.5,100,16353597048096.3,1
100,1,53,0.3,0.5,100,35415726185661200000,1
100,1,54,0.3,0.5,100,1055796003973680000,1
100,1,55,0.3,0.5,100,3352596295307940,1
100,1,56,0.3,0.5,100,1842555010590.41,1
100,1,57,0.3,0.5,100,250682076889.914,1
100,1,58,0.3,0.5,100,47880535.7594814,1
100,1,59,0.3,0.5,100,2346965308.20278,1
100,1,60,0.3,0.5,100,4.79877494583783e+20,1
100,1,61,0.3,0.5,100,1.01411741420535e+25,1
100,1,62,0.3,0.5,100,134942874.001939,1
100,1,63,0.3,0.5,100,7305738.0263707,1
100,1,64,0.3,0.5,100,4492849476807270,1
100,1,65,0.3,0.5,100,37963716841615.8,1
100,1,66,0.3,0.5,100,13984139074847.7,1
100,1,67,0.3,0.5,100,2563127414672950,1
100,1,68,0.3,0.5,100,3250557.63299726,1
100,1,69,0.3,0.5,100,53950505047.9087,1
100,1,70,0.3,0.5,100,85010886010538.6,1
100,1,71,0.3,0.5,100,9188208921398580000,1
100,1,72,0.3,0.5,100,7737143469295180000,1
100,1,73,0.3,0.5,100,8126758979861.81,1
100,1,74,0.3,0.5,100,6.07273965312608e+21,1
100,1,75,0.3,0.5,100,271392690475949000,1
100,1,76,0.3,0.5,100,8951609272740.75,1
100,1,77,0.3,0.5,100,159894558086739,1
100,1,78,0.3,0.5,100,1.06574630481888e+21,1
100,1,79,0.3,0.5,100,20253119239.8684,1
100,1,80,0.3,0.5,100,130166812529668000,1
100,1,81,0.3,0.5,100,417223433.436006,1
100,1,82,0.3,0.5,100,2784680940518850000,1
100,1,83,0.3,0.5,100,2.04536781880081e+20,1
100,1,84,0.3,0.5,100,1739973163.15595,1
100,1,85,0.3,0.5,100,2240744414941950000,1
100,1,86,0.3,0.5,100,2.48772704123546e+20,1
100,1,87,0.3,0.5,100,4127160737247760000,1
100,1,88,0.3,0.5,100,9666524098317500,1
